image_path,date,pixel_count
images/reolink_7/Motion Detected from Reolink DCC 7 at 2026528 163550__dccbridgecamerasgmail.com__1779982559000__0__01_20260528163550000.jpg,2026-05-29T10:05:55,293565
images/reolink_7/Person Animal Detected from Reolink DCC 7 at 2026528 165530__dccbridgecamerasgmail.com__1779983739000__0__01_20260528165530000.jpg,2026-05-29T10:07:31,283042
images/reolink_7/Person Detected from Reolink DCC 7 at 2026528 164012__dccbridgecamerasgmail.com__1779982823000__0__01_20260528164012000.jpg,2026-05-29T10:07:16,290418
images/reolink_7/Person Detected from Reolink DCC 7 at 2026528 165127__dccbridgecamerasgmail.com__1779983497000__0__01_20260528165127000.jpg,2026-05-29T10:07:25,288455
images/reolink_7/Person Detected from Reolink DCC 7 at 2026528 180230__dccbridgecamerasgmail.com__1779987762000__0__01_20260528180230000.jpg,2026-05-29T10:07:53,270169
images/reolink_7/Animal Detected from Reolink DCC 7 at 2026525 140145__dccbridgecamerasgmail.com__1779714118000__0__01_20260525140145000.jpg,2026-05-29T10:18:26,188040
images/reolink_7/Motion Detected from Reolink DCC 7 at 2026430 122316__dccbridgecamerasgmail.com__1777548210000__0__01_20260430122316000.jpg,2026-05-29T10:18:26,193931
images/reolink_7/Motion Detected from Reolink DCC 7 at 202651 144840__dccbridgecamerasgmail.com__1777643331000__0__01_20260501144840000.jpg,2026-05-29T10:18:26,197445
images/reolink_7/Motion Detected from Reolink DCC 7 at 202651 160445__dccbridgecamerasgmail.com__1777647897000__0__01_20260501160445000.jpg,2026-05-29T10:18:26,203509
images/reolink_7/Motion Detected from Reolink DCC 7 at 202651 160709__dccbridgecamerasgmail.com__1777648042000__0__01_20260501160709000.jpg,2026-05-29T10:18:26,207747
images/reolink_7/Motion Detected from Reolink DCC 7 at 202651 161847__dccbridgecamerasgmail.com__1777648739000__0__01_20260501161847000.jpg,2026-05-29T10:18:26,203488
images/reolink_7/Motion Detected from Reolink DCC 7 at 202651 163834__dccbridgecamerasgmail.com__1777649925000__0__01_20260501163834000.jpg,2026-05-29T10:18:26,203408
images/reolink_7/Motion Detected from Reolink DCC 7 at 2026510 164929__dccbridgecamerasgmail.com__1778428178000__0__01_20260510164929000.jpg,2026-05-29T10:18:26,217668
images/reolink_7/Motion Detected from Reolink DCC 7 at 2026511 141309__dccbridgecamerasgmail.com__1778505207000__0__01_20260511141309000.jpg,2026-05-29T10:18:26,193776
images/reolink_7/Motion Detected from Reolink DCC 7 at 2026512 143837__dccbridgecamerasgmail.com__1778593130000__0__01_20260512143837000.jpg,2026-05-29T10:18:26,206194
images/reolink_7/Motion Detected from Reolink DCC 7 at 2026512 161614__dccbridgecamerasgmail.com__1778598988000__0__01_20260512161614000.jpg,2026-05-29T10:18:26,218600
